epoch,lr,train_loss,train_acc,test_loss,test_acc,spike_rate,avg_batch_infer_ms,params,model_size_mb,synapse_count_proxy,sop_proxy
33,0.001,0.5454145147132874,0.80852,0.7469007911205292,0.751,0.05540710148564092,83.70305835269392,14724042,56.167762756347656,14715584,13045565.69773558
34,0.001,0.5494961932563782,0.80858,0.6380109196662903,0.7811,0.05403363032588252,83.95704831928015,14724042,56.167762756347656,14715584,12722182.814167546
35,0.001,0.5455310162734985,0.80984,0.6353791766643524,0.7872,0.05320951544867621,83.825324755162,14724042,56.167762756347656,14715584,12528145.50694868
36,0.001,0.5418404278373719,0.81286,0.6156461081981659,0.7939,0.053281181685836225,83.54478273540735,14724042,56.167762756347656,14715584,12545019.275474953
37,0.001,0.49412674297332765,0.82818,0.6095497935295106,0.7994,0.0533194970703125,83.5430861916393,14724042,56.167762756347656,14715584,12554040.607615
38,0.001,0.505951541557312,0.82452,0.5893865903854371,0.8026,0.05413462463378906,84.14244293235242,14724042,56.167762756347656,14715584,12745961.857711876
39,0.001,0.500437782754898,0.82664,0.6370444213867188,0.7879,0.05390242198802807,83.64665252156556,14724042,56.167762756347656,14715584,12691289.897092385
40,0.001,0.4971471412277222,0.8275,0.6526512084960937,0.7829,0.052831358032226564,83.63901288248599,14724042,56.167762756347656,14715584,12439108.591316875
41,0.001,0.47703733534812925,0.83352,0.5882399802207947,0.8036,0.05450960026493779,83.702207589522,14724042,56.167762756347656,14715584,12834249.62408183
42,0.001,0.49167262020111085,0.82938,0.5937088275909423,0.8013,0.052662930433485244,83.82517285645008,14724042,56.167762756347656,14715584,12399452.423681736
